Account,Date,TimeOpened,TimeClosed,TradeType,StopType,StopMultiple,PriceOpen,PriceClose,PriceStopTarget,TotalPremium,Qty,Commission,ProfitLoss,Status,ShortPut,LongPut,ShortCall,LongCall,BuyingPower,StopMultipleResult,Slippage,StopTrigger,PutDelta,CallDelta,Template,Strategy,PriceLong,PriceShort,OpenDate,OpenTime,CloseDate,CloseTime,TradeID,ParentTradeID,ContractCount
IB:U14981614,2/2/2026,1:16 PM,3:03 PM,PutSpread,Short,1,1.6,-3.45,3.2,160,1,6.3850,-191.385,Stopped,6970,6870,,,9840,-1.15625,0.30,Double Bid,-0.19006935780245,,EMA-V Puts,EMA-VWAP,0.22,1.82,2026-02-02,13:16:02,2026-02-02,15:03:39,14917,0,2
IB:U14981614,2/2/2026,1:52 PM,3:02 PM,PutSpread,Short,1,1.35,-2.75,2.7,135,1,6.4850,-146.485,Stopped,6975,6875,,,9865,-1.03703703703704,0.10,Double Bid,-0.185764657638398,,EMA-V Puts,EMA-VWAP,0.17,1.52,2026-02-02,13:52:01,2026-02-02,15:02:33,14924,0,2
IB:U14981614,2/2/2026,2:01 PM,2:59 PM,PutSpread,Short,1,1.75,-3.85,3.5,175,1,6.3850,-216.385,Stopped,6980,6880,,,9825,-1.2,0.50,Double Bid,-0.270820887699557,,EMA-V Puts,EMA-VWAP,0.2,1.95,2026-02-02,14:01:07,2026-02-02,14:59:55,14927,0,2
IB:U14981614,2/2/2026,2:10 PM,2:59 PM,PutSpread,Short,1,1.35,-3.15,2.7,135,1,6.3850,-186.385,Stopped,6980,6880,,,9865,-1.33333333333333,0.60,Double Bid,-0.212795146961061,,EMA-V Puts,EMA-VWAP,0.17,1.52,2026-02-02,14:10:01,2026-02-02,14:59:46,14928,0,2
IB:U14981614,2/2/2026,2:20 PM,2:36 PM,PutSpread,Short,1,1.25,-2.45,2.5,125,1,6.3850,-126.385,Stopped,6980,6880,,,9875,-0.96,0.05,Double Bid,-0.207666112488969,,EMA-V Puts,EMA-VWAP,0.17,1.42,2026-02-02,14:20:03,2026-02-02,14:36:46,14931,0,2
IB:U14981614,2/2/2026,2:28 PM,2:36 PM,PutSpread,Short,1,1.2,-2.35,2.4,120,1,6.3850,-121.385,Stopped,6980,6880,,,9880,-0.958333333333334,0.05,Double Bid,-0.199612384936311,,EMA-V Puts,EMA-VWAP,0.17,1.37,2026-02-02,14:28:30,2026-02-02,14:36:36,14934,0,2
IB:U14981614,2/3/2026,9:58 AM,4:00 PM,CallSpread,Short,1,2,0,4,200,1,3.1925,196.8075,Expired,,,6995,7090,9300,1,0,Double Bid,,0.187993294189506,EMA-V Calls,EMA-VWAP,0.03,2.03,2026-02-03,09:58:01,2026-02-03,16:00:02,14941,0,2
IB:U14981614,2/3/2026,10:07 AM,4:00 PM,CallSpread,Short,1,1.65,0,3.3,165,1,3.1925,161.8075,Expired,,,6990,7090,9835,1,0,Double Bid,,0.127864686881992,EMA-V Calls,EMA-VWAP,0.07,1.72,2026-02-03,10:07:01,2026-02-03,16:00:14,14945,0,2
IB:U14981614,2/3/2026,10:16 AM,4:00 PM,CallSpread,Short,1,1.65,0,3.3,165,1,3.1925,161.8075,Expired,,,6985,7085,9835,1,0,Double Bid,,0.101851789918868,EMA-V Calls,EMA-VWAP,0.1,1.75,2026-02-03,10:16:01,2026-02-03,16:00:30,14950,0,2
IB:U14981614,2/3/2026,10:25 AM,10:56 AM,CallSpread,Short,1,1.6,-3.25,3.2,160,1,6.3850,-171.385,Stopped,,,6980,7080,9840,-1.03125,0.10,Double Bid,,0.132610716585602,EMA-V Calls,EMA-VWAP,0.1,1.7,2026-02-03,10:25:01,2026-02-03,10:56:30,14953,0,2
